Observation,TextUrn,Image,Comments
urn:cite:op:2015office3.1,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ἠ,"urn:cite:hmt:vaimg.VA251VN-0753@0.4406,0.2065,0.063,0.075",
urn:cite:op:2015office3.2,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ὼ,"urn:cite:hmt:vaimg.VA251VN-0753@0.5025,0.2309,0.0184,0.0152",
urn:cite:op:2015office3.3,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ς,"urn:cite:hmt:vaimg.VA251VN-0753@0.5205,0.2347,0.0133,0.0105",
urn:cite:op:2015office3.4,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@μ,"urn:cite:hmt:vaimg.VA251VN-0753@0.5356,0.2342,0.0158,0.015",
urn:cite:op:2015office3.5,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ε,"urn:cite:hmt:vaimg.VA251VN-0753@0.5503,0.2314,0.0125,0.0119",
urn:cite:op:2015office3.6,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ν,"urn:cite:hmt:vaimg.VA251VN-0753@0.5599,0.2353,0.0122,0.0136",
urn:cite:op:2015office3.7,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@κ,"urn:cite:hmt:vaimg.VA251VN-0753@0.5776,0.2311,0.0169,0.0136",
urn:cite:op:2015office3.8,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ρ,"urn:cite:hmt:vaimg.VA251VN-0753@0.5942,0.2353,0.0111,0.0136",
urn:cite:op:2015office3.9,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ο,"urn:cite:hmt:vaimg.VA251VN-0753@0.6038,0.2353,0.0088,0.0086",
urn:cite:op:2015office3.10,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@κ[2],"urn:cite:hmt:vaimg.VA251VN-0753@0.6152,0.2314,0.0136,0.013",
urn:cite:op:2015office3.11,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ό[2],"urn:cite:hmt:vaimg.VA251VN-0753@0.6299,0.227,0.0107,0.0174",
urn:cite:op:2015office3.12,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@π,"urn:cite:hmt:vaimg.VA251VN-0753@0.6395,0.2339,0.0177,0.0122",
urn:cite:op:2015office3.13,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ε[2],"urn:cite:hmt:vaimg.VA251VN-0753@0.6557,0.235,0.0074,0.0094",
urn:cite:op:2015office3.14,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@π[2],"urn:cite:hmt:vaimg.VA251VN-0753@0.6645,0.2356,0.0162,0.0097",
urn:cite:op:2015office3.15,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@λ,"urn:cite:hmt:vaimg.VA251VN-0753@0.6769,0.2324,0.0144,0.0136",
urn:cite:op:2015office3.16,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ο[3],"urn:cite:hmt:vaimg.VA251VN-0753@0.6894,0.2363,0.0092,0.0083",
urn:cite:op:2015office3.17,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@σ[2],"urn:cite:hmt:vaimg.VA251VN-0753@0.699,0.2369,0.0122,0.0083",
urn:cite:op:2015office3.18,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ἀ,"urn:cite:hmt:vaimg.VA251VN-0753@0.7119,0.2302,0.0136,0.0172",
urn:cite:op:2015office3.19,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@π[3],"urn:cite:hmt:vaimg.VA251VN-0753@0.7259,0.2366,0.014,0.01",
urn:cite:op:2015office3.20,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ὠ[2],"urn:cite:hmt:vaimg.VA251VN-0753@0.7396,0.2308,0.014,0.0144",
urn:cite:op:2015office3.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@κ[3],"urn:cite:hmt:vaimg.VA251VN-0753@0.7561,0.2316,0.0125,0.0144",
urn:cite:op:2015office3.22,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ε[3],"urn:cite:hmt:vaimg.VA251VN-0753@0.7702,0.2335,0.0096,0.0119",
urn:cite:op:2015office3.23,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@α[2],"urn:cite:hmt:vaimg.VA251VN-0753@0.7794,0.2344,0.0125,0.0114",
urn:cite:op:2015office3.24,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ν[2],"urn:cite:hmt:vaimg.VA251VN-0753@0.7904,0.2344,0.0111,0.0116",
urn:cite:op:2015office3.25,urn:cts:greekLit:tlg0012.tlg001.msA:19.1@ο[4],"urn:cite:hmt:vaimg.VA251VN-0753@0.8004,0.2358,0.0081,0.0069",
